EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

Experiment: 20250617_133001_1fve
Started: 2025-06-17 13:30:03
Completed: 2025-06-17 13:37:16
Total Training Time: 7.2 minutes (0.1 hours)
Report generated: 2025-06-17 13:37:16

Configuration Settings:
------------------------------
  data_dir: N/A
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/1fv5
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/trained_models
  use_fast_ode: False
  reduced_cluster_size: 256
  hidden_dim: 256
  model_parameters: 1324102
  model_type: EvoformerODEFunc
  epochs: 1000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: None
  loss_function: Adaptive MSE
  train_proteins: 1
  val_proteins: 1
  use_sequential_loading: False
  aggressive_cleanup: True
  preliminary_training_enabled: False
  prelim_data_dir: None
  prelim_block_stride: 4
  prelim_max_epochs: 20
  prelim_early_stopping_min_delta: N/A

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

MAIN TRAINING PHASE
==================================================

Main Training Started: 2025-06-17 13:30:03
Main Training Completed: 2025-06-17 13:37:16
Main Training Duration: 7.2 minutes

Main Training Progress:
------------------------------
Epoch    Train Loss     Train Success  Val Loss       Val Success    Duration (s)
206      14.88192       1/1            14.86613       1/1            0.4         
207      14.86613       1/1            14.85052       1/1            0.4         
208      14.85052       1/1            14.83489       1/1            0.4         
209      14.83489       1/1            14.81939       1/1            0.4         
210      14.81939       1/1            14.80384       1/1            0.4         
211      14.80384       1/1            14.78763       1/1            0.4         
212      14.78763       1/1            14.77221       1/1            0.4         
213      14.77221       1/1            14.75694       1/1            0.4         
214      14.75694       1/1            14.74158       1/1            0.4         
215      14.74158       1/1            14.72651       1/1            0.4         
216      14.72651       1/1            14.70937       1/1            0.4         
217      14.70937       1/1            14.69424       1/1            0.4         
218      14.69424       1/1            14.67920       1/1            0.4         
219      14.67920       1/1            14.66446       1/1            0.4         
220      14.66446       1/1            14.64700       1/1            0.4         
221      14.64700       1/1            14.63210       1/1            0.4         
222      14.63210       1/1            14.61743       1/1            0.4         
223      14.61743       1/1            14.60275       1/1            0.4         
224      14.60275       1/1            14.58751       1/1            0.4         
225      14.58751       1/1            14.57295       1/1            0.4         
226      14.57295       1/1            14.55845       1/1            0.4         
227      14.55845       1/1            14.54370       1/1            0.4         
228      14.54370       1/1            14.52947       1/1            0.4         
229      14.52947       1/1            14.51510       1/1            0.4         
230      14.51510       1/1            14.50076       1/1            0.4         
231      14.50076       1/1            14.48450       1/1            0.4         
232      14.48450       1/1            14.46958       1/1            0.4         
233      14.46958       1/1            14.45576       1/1            0.4         
234      14.45576       1/1            14.44171       1/1            0.4         
235      14.44171       1/1            14.42747       1/1            0.4         
236      14.42747       1/1            14.41364       1/1            0.4         
237      14.41364       1/1            14.39965       1/1            0.4         
238      14.39965       1/1            14.38584       1/1            0.4         
239      14.38584       1/1            14.37165       1/1            0.4         
240      14.37165       1/1            14.35594       1/1            0.4         
241      14.35594       1/1            14.34215       1/1            0.4         
242      14.34215       1/1            14.32813       1/1            0.4         
243      14.32813       1/1            14.31434       1/1            0.4         
244      14.31434       1/1            14.29982       1/1            0.4         
245      14.29982       1/1            14.28614       1/1            0.4         
246      14.28614       1/1            14.27232       1/1            0.4         
247      14.27232       1/1            14.25677       1/1            0.4         
248      14.25677       1/1            14.24317       1/1            0.4         
249      14.24317       1/1            14.22897       1/1            0.4         
250      14.22897       1/1            14.21525       1/1            0.4         
251      14.21525       1/1            14.20180       1/1            0.4         
252      14.20180       1/1            14.18850       1/1            0.4         
253      14.18850       1/1            14.17499       1/1            0.4         
254      14.17499       1/1            14.16156       1/1            0.4         
255      14.16156       1/1            14.14834       1/1            0.4         
256      14.14834       1/1            14.13467       1/1            0.4         
257      14.13467       1/1            14.12068       1/1            0.4         
258      14.12068       1/1            14.10754       1/1            0.4         
259      14.10754       1/1            14.09430       1/1            0.4         
260      14.09430       1/1            14.07908       1/1            0.4         
261      14.07908       1/1            14.06607       1/1            0.4         
262      14.06607       1/1            14.05089       1/1            0.4         
263      14.05089       1/1            14.03777       1/1            0.4         
264      14.03777       1/1            14.02490       1/1            0.4         
265      14.02490       1/1            14.01185       1/1            0.4         
266      14.01185       1/1            13.99874       1/1            0.4         
267      13.99874       1/1            13.98586       1/1            0.4         
268      13.98586       1/1            13.97295       1/1            0.4         
269      13.97295       1/1            13.96015       1/1            0.4         
270      13.96015       1/1            13.94667       1/1            0.4         
271      13.94667       1/1            13.93380       1/1            0.4         
272      13.93380       1/1            13.92100       1/1            0.4         
273      13.92100       1/1            13.90832       1/1            0.4         
274      13.90832       1/1            13.89545       1/1            0.4         
275      13.89545       1/1            13.88291       1/1            0.4         
276      13.88291       1/1            13.87011       1/1            0.4         
277      13.87011       1/1            13.85705       1/1            0.4         
278      13.85705       1/1            13.84417       1/1            0.4         
279      13.84417       1/1            13.83168       1/1            0.4         
280      13.83168       1/1            13.81910       1/1            0.4         
281      13.81910       1/1            13.80480       1/1            0.4         
282      13.80480       1/1            13.79213       1/1            0.4         
283      13.79213       1/1            13.77789       1/1            0.4         
284      13.77789       1/1            13.76496       1/1            0.4         
285      13.76496       1/1            13.75268       1/1            0.4         
286      13.75268       1/1            13.74032       1/1            0.4         
287      13.74032       1/1            13.72824       1/1            0.4         
288      13.72824       1/1            13.71586       1/1            0.4         
289      13.71586       1/1            13.70378       1/1            0.4         
290      13.70378       1/1            13.69157       1/1            0.4         
291      13.69157       1/1            13.67919       1/1            0.4         
292      13.67919       1/1            13.66718       1/1            0.4         
293      13.66718       1/1            13.65517       1/1            0.4         
294      13.65517       1/1            13.64287       1/1            0.4         
295      13.64287       1/1            13.63091       1/1            0.4         
296      13.63091       1/1            13.61884       1/1            0.4         
297      13.61884       1/1            13.60654       1/1            0.4         
298      13.60654       1/1            13.59452       1/1            0.4         
299      13.59452       1/1            13.58266       1/1            0.4         
300      13.58266       1/1            13.56808       1/1            0.4         
301      13.56808       1/1            13.55617       1/1            0.4         
302      13.55617       1/1            13.54406       1/1            0.4         
303      13.54406       1/1            13.53229       1/1            0.4         
304      13.53229       1/1            13.52063       1/1            0.4         
305      13.52063       1/1            13.50854       1/1            0.4         
306      13.50854       1/1            13.49677       1/1            0.4         
307      13.49677       1/1            13.48320       1/1            0.4         
308      13.48320       1/1            13.47127       1/1            0.4         
309      13.47127       1/1            13.45984       1/1            0.4         
310      13.45984       1/1            13.44741       1/1            0.4         
311      13.44741       1/1            13.43568       1/1            0.4         
312      13.43568       1/1            13.42418       1/1            0.4         
313      13.42418       1/1            13.41261       1/1            0.4         
314      13.41261       1/1            13.40118       1/1            0.4         
315      13.40118       1/1            13.38912       1/1            0.4         
316      13.38912       1/1            13.37758       1/1            0.4         
317      13.37758       1/1            13.36615       1/1            0.4         
318      13.36615       1/1            13.35480       1/1            0.4         
319      13.35480       1/1            13.34361       1/1            0.4         
320      13.34361       1/1            13.33043       1/1            0.4         
321      13.33043       1/1            13.31895       1/1            0.4         
322      13.31895       1/1            13.30789       1/1            0.4         
323      13.30789       1/1            13.29672       1/1            0.4         
324      13.29672       1/1            13.28572       1/1            0.4         
325      13.28572       1/1            13.27450       1/1            0.4         
326      13.27450       1/1            13.26340       1/1            0.4         
327      13.26340       1/1            13.25223       1/1            0.4         
328      13.25223       1/1            13.24118       1/1            0.4         
329      13.24118       1/1            13.23025       1/1            0.4         
330      13.23025       1/1            13.21901       1/1            0.4         
331      13.21901       1/1            13.20793       1/1            0.4         
332      13.20793       1/1            13.19621       1/1            0.4         
333      13.19621       1/1            13.18495       1/1            0.4         
334      13.18495       1/1            13.17393       1/1            0.4         
335      13.17393       1/1            13.16276       1/1            0.4         
336      13.16276       1/1            13.14957       1/1            0.4         
337      13.14957       1/1            13.13829       1/1            0.4         
338      13.13829       1/1            13.12718       1/1            0.4         
339      13.12718       1/1            13.11600       1/1            0.4         
340      13.11600       1/1            13.10487       1/1            0.4         
