EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

Experiment: 20250617_133821_1fve
Started: 2025-06-17 13:38:23
Completed: 2025-06-17 13:45:20
Total Training Time: 6.9 minutes (0.1 hours)
Report generated: 2025-06-17 13:45:20

Configuration Settings:
------------------------------
  data_dir: N/A
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/1fv5
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/trained_models
  use_fast_ode: True
  reduced_cluster_size: 256
  hidden_dim: 256
  model_parameters: 265986
  model_type: EvoformerODEFuncFast
  epochs: 10000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: None
  loss_function: Adaptive MSE
  train_proteins: 1
  val_proteins: 1
  use_sequential_loading: False
  aggressive_cleanup: True
  preliminary_training_enabled: False
  prelim_data_dir: None
  prelim_block_stride: 4
  prelim_max_epochs: 20
  prelim_early_stopping_min_delta: N/A

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

MAIN TRAINING PHASE
==================================================

Main Training Started: 2025-06-17 13:38:23
Main Training Completed: 2025-06-17 13:45:20
Main Training Duration: 6.9 minutes

Main Training Progress:
------------------------------
Epoch    Train Loss     Train Success  Val Loss       Val Success    Duration (s)
301      9.20773        1/1            9.16142        1/1            0.2         
302      9.16142        1/1            9.08981        1/1            0.2         
303      9.08981        1/1            9.03142        1/1            0.2         
304      9.03142        1/1            8.97265        1/1            0.2         
305      8.97265        1/1            8.92107        1/1            0.2         
306      8.92107        1/1            8.86497        1/1            0.2         
307      8.86497        1/1            8.82564        1/1            0.2         
308      8.82564        1/1            8.77571        1/1            0.2         
309      8.77571        1/1            8.71299        1/1            0.2         
310      8.71299        1/1            8.68052        1/1            0.2         
311      8.68052        1/1            8.63657        1/1            0.2         
312      8.63657        1/1            8.58769        1/1            0.2         
313      8.58769        1/1            8.54510        1/1            0.2         
314      8.54510        1/1            8.48984        1/1            0.2         
315      8.48984        1/1            8.46381        1/1            0.2         
316      8.46381        1/1            8.44458        1/1            0.2         
317      8.44458        1/1            8.36991        1/1            0.2         
318      8.36991        1/1            8.35712        1/1            0.2         
319      8.35712        1/1            8.35561        1/1            0.2         
320      8.35561        1/1            8.29564        1/1            0.2         
321      8.29564        1/1            8.22138        1/1            0.2         
322      8.22138        1/1            8.21810        1/1            0.2         
323      8.21810        1/1            8.17226        1/1            0.2         
324      8.17226        1/1            8.14342        1/1            0.2         
325      8.14342        1/1            8.12002        1/1            0.2         
326      8.12002        1/1            8.09158        1/1            0.2         
327      8.09158        1/1            8.03834        1/1            0.2         
328      8.03834        1/1            8.02649        1/1            0.2         
329      8.02649        1/1            7.99346        1/1            0.2         
330      7.99346        1/1            7.95495        1/1            0.2         
331      7.95495        1/1            7.91779        1/1            0.2         
332      7.91779        1/1            7.88644        1/1            0.2         
333      7.88644        1/1            7.84902        1/1            0.2         
334      7.84902        1/1            7.81433        1/1            0.2         
335      7.81433        1/1            7.77680        1/1            0.2         
336      7.77680        1/1            7.73811        1/1            0.2         
337      7.73811        1/1            7.69724        1/1            0.2         
338      7.69724        1/1            7.65974        1/1            0.2         
339      7.65974        1/1            7.61544        1/1            0.2         
340      7.61544        1/1            7.57982        1/1            0.2         
341      7.57982        1/1            7.53742        1/1            0.2         
342      7.53742        1/1            7.50007        1/1            0.2         
343      7.50007        1/1            7.46469        1/1            0.2         
344      7.46469        1/1            7.41852        1/1            0.2         
345      7.41852        1/1            7.39136        1/1            0.2         
346      7.39136        1/1            7.36064        1/1            0.2         
