EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

Experiment: adjoint_training_20250605_183403
Started: 2025-06-05 18:34:32
Completed: 2025-06-06 00:32:37
Total Training Time: 358.1 minutes (6.0 hours)
Report generated: 2025-06-06 00:32:37

Configuration Settings:
------------------------------
  data_dir: /media/visitor/Extreme SSD/data/complete_blocks
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/mini
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/outputs
  use_fast_ode: True
  reduced_cluster_size: 128
  hidden_dim: 128
  model_parameters: 166914
  model_type: EvoformerODEFuncFast
  epochs: 1000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: 1000
  loss_function: Adaptive MSE (0→48 only)
  train_proteins: 80
  val_proteins: 25

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

TRAINING PROGRESS SUMMARY
==================================================

Epoch    Train Loss     Val Loss       Best Loss      Worst Loss     Duration (s)
    2f2x_A: 0.42892
    6vjo_A: 0.86207
    3q54_A: 0.44427
    2cb3_A: 0.38949
    3gai_A: 0.40940
    3dm8_A: 0.43526
    4x51_A: 0.44629
    1wlt_A: 0.37534
    4edp_A: 0.40710
    4yk0_A: 0.40404
    6neg_A: 0.38907
    5uag_A: 0.40189
    2gp6_A: 0.39142
    1t1h_A: 0.40146
    1pt4_A: 0.58219
    1su1_A: 0.37270
    1fdy_A: 0.37778
    7lca_A: 0.37883
    6fcm_A: 0.35735
    2cwx_A: 0.37575
    1i5z_A: 0.38336
    6abq_A: 0.36531
    1esi_A: 0.37949
    4ekx_A: 0.35495
    5khg_A: 0.37576
    1ehj_A: 0.39736
    6v42_A: 0.35500
    5uqi_A: 0.33816
    3tkp_A: 0.33141
    3gbw_A: 0.35997
    2qht_A: 0.38236
    2r9p_A: 0.32130
    3ga0_A: 0.33078
    2g19_A: 0.33357
    4nwb_A: 0.39150
    2zc1_A: 0.34810
    3dp6_A: 0.31877
    2uy9_A: 0.33939
    3o4r_A: 0.33819
    2pku_A: 0.35863
    6yjn_A: 0.33716
    1sgv_A: 0.35406
    1uv7_A: 0.34589
    6jko_A: 0.34428
    6sw8_A: 0.40426
    2ztm_A: 0.36098
    4cew_A: 0.33558

Epoch 5:
  Duration: 113.1 seconds
  Training Loss: 0.31311
  Validation Loss: 0.29574 (25 proteins)
    Val range: [0.23683, 0.57019]
  Best: 2r9p_A (0.23618)
  Worst: 6vjo_A (0.74846)
  Training Proteins:
    7d60_A: 0.35652
    1kqy_A: 0.33640
    3eba_A: 0.33060
    3foa_A: 0.34092
    3eps_A: 0.33932
    4j7z_A: 0.43589
    2cbp_A: 0.31519
    2wvq_A: 0.34342
    5wrf_A: 0.33680
    3ob6_A: 0.35466
    1mzw_A: 0.29966
    7bln_A: 0.30702
    3st1_A: 0.30069
    1z84_A: 0.32771
    5jir_A: 0.30905
    5wup_A: 0.33747
    1tpg_A: 0.32492
    6dzg_A: 0.29813
    1b08_A: 0.29982
    7k6p_A: 0.42100
    6h05_A: 0.35088
    1pzx_A: 0.31279
    6fl1_A: 0.56269
    2wwn_A: 0.33708
    3zxf_A: 0.33587
    4n8p_A: 0.28932
    3e62_A: 0.29040
    5veo_A: 0.29287
    4i05_A: 0.29002
    4b7i_A: 0.29366
    1rij_A: 0.42972
    2pwj_A: 0.28582
    4z7x_A: 0.29963
    2f2x_A: 0.30124
    6vjo_A: 0.74846
    3q54_A: 0.34444
    2cb3_A: 0.27773
    3gai_A: 0.30039
    3dm8_A: 0.32436
    4x51_A: 0.33998
    1wlt_A: 0.26856
    4edp_A: 0.31124
    4yk0_A: 0.29786
    6neg_A: 0.29166
    5uag_A: 0.30743
    2gp6_A: 0.29591
