EVOFORMER NEURAL ODE TRAINING REPORT
==================================================

⏰ INTERRUPTED AT 114 EPOCHS (TIME LIMIT REACHED)
==================================================

Experiment: 20250613_180436_fast_ode_with_prelim
Started: 2025-06-14 19:23:15
Completed: 2025-06-15 19:23:16
Total Training Time: 1440.0 minutes (24.0 hours)
Report generated: 2025-06-15 19:23:16

Configuration Settings:
------------------------------
  data_dir: N/A
  splits_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/data_splits/jumbo
  mode: N/A
  output_dir: /home/visitor/PycharmProjects/openFold/neural_ODE/trained_models
  use_fast_ode: True
  reduced_cluster_size: 128
  hidden_dim: 64
  model_parameters: 117378
  model_type: EvoformerODEFuncFast
  epochs: 1000
  learning_rate: 0.001
  batch_size: N/A
  integrator: rk4
  use_amp: True
  max_residues: None
  loss_function: Adaptive MSE (0→48 only)
  train_proteins: 492
  val_proteins: 50
  use_sequential_loading: True
  aggressive_cleanup: True

System Information:
------------------------------
  cuda_available: True
  device: cuda
  pytorch_version: 2.1.2
  gpu_name: Quadro P4000
  cuda_version: 12.1
  total_gpu_memory: 7.9 GB

TRAINING PROGRESS SUMMARY
==================================================

Epoch    Train Loss     Train Success  Val Loss       Val Success    Duration (s)
    4pkl_A: 28.73510
    3zrp_A: 107.73736
    4o1k_A: 62.32005
    5uxv_A: 66.20220
    5cqq_A: 24.12988
    2pk9_A: 81.27659
    7jot_A: 154.90109
    3b0m_A: 178.00978
    4o4v_A: 74.89693
    1lr1_A: 26.10165
    3et1_A: 83.78152
    1yaf_A: 67.47015
    2q2j_A: 33.34315
    1nqd_A: 35.26906
    3a9w_A: 79.67863
    2gic_A: 48.37535
    4tw8_A: 57.44237
    5jp1_A: 54.16096
    1l9c_A: 101.34544
    2rhb_A: 86.58814
    2afs_A: 79.69819
    3t8o_A: 160.21011
    3hrs_A: 53.87195
    2wfx_A: 40.98111
    4p3b_A: 23.77608
    2zf9_A: 49.91055
    6cpd_A: 31.87630
    1na8_A: 41.74100
    4etq_A: 58.26823
    3a75_A: 108.12080
    5ufq_A: 40.26049
    2gim_A: 25.41108
    4i5f_A: 65.08527
    3wt1_A: 67.36446
    7dev_A: 130.41861
    6zmu_A: 22.50984
    1ega_A: 72.34608
    3lb6_A: 37.68510
    5iaw_A: 57.65915
    2o8e_A: 8.67442
    7aon_A: 14.57351
    1ft2_A: 83.13782
    6thb_A: 109.24474
    1esm_A: 79.77473
    5yuf_A: 13.80141
    1h5y_A: 62.14853
    3q9b_A: 92.76969
    2rio_A: 113.36839
    5f67_A: 23.03255
    5t7z_A: 164.91513
    3dt5_A: 42.19859
    7bv6_A: 21.54835
    4an6_A: 44.41183
    2yey_A: 169.09065
    2pfw_A: 25.55145
    3mxi_A: 70.23801
    5k8m_A: 120.54650
    3ry9_A: 68.47130
    3toc_A: 51.53340
    6y6l_A: 46.50763
    3dpj_A: 52.75587
    5w0j_A: 13.80283
    5tih_A: 79.60045
    1tza_A: 31.54090
    3dvu_A: 35.05477
    6rum_A: 65.46758
    2ls5_A: 36.98861
    5f1f_A: 91.00978
    1ah5_A: 79.05627
    1wq9_A: 23.28019
    6jrq_A: 117.31834
    1l09_A: 37.64571
    4i69_A: 21.82258
    5wxv_A: 42.59874
    4f4w_A: 94.36990
    2k1w_A: 18.63587
    4y68_A: 74.60199
    4cbj_A: 32.16190
    1iy5_A: 11.37211
    7sk0_A: 112.52271
    3dp5_A: 21.49846
    4p99_A: 202.27119
    1wdc_A: 25.15593
    1ios_A: 26.74224
    1ch2_A: 36.29381
    2pmp_A: 38.87652
    1kdk_A: 38.72105
    6t6i_A: 17.31677
    1bus_A: 15.53367
    5vmt_A: 85.25910
    2rdn_A: 68.02651
    2r6o_A: 79.32694
    3lr5_A: 33.77888
    1w4s_A: 40.14421
    2wzv_A: 53.81412
    6wcv_A: 91.03885
    6qms_A: 17.71557
    7c50_A: 47.22198
    1bh3_A: 81.14658
    6i6c_A: 71.62833
    6gpm_A: 21.69584
    3l6x_A: 177.31088
    6aj6_A: 110.14394
    6fas_A: 26.56276
    1z91_A: 34.08274
    5c7j_A: 92.72535
    4fuw_A: 31.53069
    6xs5_A: 37.62672
    1p3b_A: 59.01526
    6h7c_A: 92.74519
    2gw4_A: 12.17478
    1fqm_A: 58.06399
    1lb1_A: 88.20424
    6bdx_A: 61.20774
    3l04_A: 89.36475
    6yd3_A: 128.00366
    2pyu_A: 55.70882
    3b36_A: 44.27802
    6ldq_A: 55.62342
    1wo5_A: 14.51614
    4h3w_A: 84.32846
    3vkz_A: 107.56416
    3o0h_A: 119.92764
    2f4j_A: 63.92819
    1t6l_A: 60.55246
    5aef_A: 7.79152
    1uub_A: 14.50836
    1mjh_A: 38.27598
    3iln_A: 55.07450
    1l8g_A: 66.40056
    3sx0_A: 118.01606
    5e5q_A: 17.52666
    7bqs_A: 50.52751
    4ba7_A: 32.37431
    5k9q_A: 74.77187
    6gw4_A: 69.57624
    7eql_A: 72.84846
    5h54_A: 52.44032
    6ai5_A: 43.19395
    2fyz_A: 28.14119
    5vl1_A: 142.65227
    5lq6_A: 45.57254
    6pqe_A: 19.10304
    2xt3_A: 80.18905
    6ywh_A: 26.38633
    4wvo_A: 41.11770
    2v0o_A: 89.79160
    16vp_A: 92.15003
    2iha_A: 8.95837
    1ogu_A: 69.30132
    2ocy_A: 75.72050
    4pv0_A: 59.83409
    4yov_A: 48.42062
    7jjt_A: 138.76308
    7lgc_A: 26.85482
    5k8j_A: 19.21969
    2q87_A: 24.06592
    5bpe_A: 33.89742
